2026-02-20 01:04:57,400 | INFO     | bharatchain.main | Starting BharatChain v0.1.0
2026-02-20 01:04:57,401 | INFO     | bharatchain.main | Environment: development
2026-02-20 01:04:57,401 | INFO     | bharatchain.main | Connecting to database...
2026-02-20 01:11:08,061 | INFO     | bharatchain.main | Starting BharatChain v0.1.0
2026-02-20 01:11:08,062 | INFO     | bharatchain.main | Environment: development
2026-02-20 01:11:08,063 | INFO     | bharatchain.main | Connecting to database...
2026-02-20 01:11:08,198 | INFO     | bharatchain.db | Database tables created / verified.
2026-02-20 01:11:08,224 | INFO     | bharatchain.main | Connecting to blockchain (simulation)...
2026-02-20 01:11:08,225 | INFO     | bharatchain.blockchain | SimulatedChain: ready (in-memory mode)
2026-02-20 01:11:08,237 | INFO     | bharatchain.main | Initializing crypto engine...
2026-02-20 01:11:08,237 | INFO     | bharatchain.crypto | Crypto engine initialized.
2026-02-20 01:11:08,248 | INFO     | bharatchain.main | ==================================================
2026-02-20 01:11:08,249 | INFO     | bharatchain.main |   BharatChain is LIVE on port 8000
2026-02-20 01:11:08,249 | INFO     | bharatchain.main | ==================================================
2026-02-20 01:20:51,617 | INFO     | bharatchain.main | Shutting down — closing connections...
2026-02-20 01:20:51,618 | INFO     | bharatchain.blockchain | SimulatedChain: disconnected
2026-02-20 01:20:59,791 | INFO     | bharatchain.main | Starting BharatChain v0.1.0
2026-02-20 01:20:59,792 | INFO     | bharatchain.main | Environment: development
2026-02-20 01:20:59,792 | INFO     | bharatchain.main | Connecting to database...
2026-02-20 01:20:59,826 | INFO     | bharatchain.db | Database tables created / verified.
2026-02-20 01:20:59,852 | INFO     | bharatchain.main | Connecting to blockchain (simulation)...
2026-02-20 01:20:59,853 | INFO     | bharatchain.blockchain | SimulatedChain: ready (in-memory mode)
2026-02-20 01:20:59,868 | INFO     | bharatchain.main | Initializing crypto engine...
2026-02-20 01:20:59,868 | INFO     | bharatchain.crypto | Crypto engine initialized.
2026-02-20 01:20:59,881 | INFO     | bharatchain.main | ==================================================
2026-02-20 01:20:59,882 | INFO     | bharatchain.main |   BharatChain is LIVE on port 8000
2026-02-20 01:20:59,882 | INFO     | bharatchain.main | ==================================================
2026-02-20 01:23:16,408 | INFO     | bharatchain.main | Shutting down — closing connections...
2026-02-20 01:23:16,409 | INFO     | bharatchain.blockchain | SimulatedChain: disconnected
2026-02-20 01:23:36,135 | INFO     | bharatchain.main | Starting BharatChain v0.1.0
2026-02-20 01:23:36,136 | INFO     | bharatchain.main | Environment: development
2026-02-20 01:23:36,136 | INFO     | bharatchain.main | Connecting to database...
2026-02-20 01:23:36,162 | INFO     | bharatchain.db | Database tables created / verified.
2026-02-20 01:23:36,183 | INFO     | bharatchain.main | Connecting to blockchain (simulation)...
2026-02-20 01:23:36,183 | INFO     | bharatchain.blockchain | SimulatedChain: ready (in-memory mode)
2026-02-20 01:23:36,197 | INFO     | bharatchain.main | Initializing crypto engine...
2026-02-20 01:23:36,198 | INFO     | bharatchain.crypto | Crypto engine initialized.
2026-02-20 01:23:36,208 | INFO     | bharatchain.main | ==================================================
2026-02-20 01:23:36,208 | INFO     | bharatchain.main |   BharatChain is LIVE on port 8000
2026-02-20 01:23:36,209 | INFO     | bharatchain.main | ==================================================
2026-02-20 01:24:35,728 | INFO     | bharatchain.blockchain | Block #1 written [IDENTITY] hash=f62414659d2e2883...
2026-02-20 01:28:20,411 | INFO     | bharatchain.main | Shutting down — closing connections...
2026-02-20 01:28:20,412 | INFO     | bharatchain.blockchain | SimulatedChain: disconnected
